,z_address,sales_price,sales_date,Lot_size,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,age,build_gen,zestimate,zindexvalue,zipcode,full_bath,other_bath,is_studio
71,1816 Castro St,850000,02/03/2016,3180,1.0,2.0,884.0,02/03/2016,850000.0,37.747035,-122.43386799999999,Noe Valley,5.0,Condominium,98.0,5.0,1027971.0,1782000,94131.0,1.0,0.0,0
72,149 Laidley St,1950000,02/03/2016,2500,2.0,3.0,2100.0,02/03/2016,1950000.0,37.739622999999995,-122.428899,Glen Park,10.0,SingleFamily,116.0,4.0,1880749.0,1660200,94131.0,2.0,0.0,0
73,737 Tehama St # 1,1030000,02/02/2016,1554,2.0,2.0,977.0,02/02/2016,1030000.0,37.775184,-122.41156699999999,South of Market,5.0,Condominium,10.0,14.0,1004132.0,975700,94103.0,2.0,0.0,0
74,319 De Long St,565000,02/02/2016,2256,1.0,2.0,875.0,02/02/2016,565000.0,37.709410999999996,-122.46503100000001,Outer Mission,4.0,SingleFamily,66.0,9.0,642369.0,814200,94112.0,1.0,0.0,0
75,1655 48th Ave,762000,02/02/2016,2996,1.0,2.0,697.0,02/02/2016,762000.0,37.755586,-122.50806299999999,Outer Sunset,4.0,SingleFamily,112.0,4.0,711217.0,1031800,94122.0,1.0,0.0,0
76,4219 Folsom St,950000,02/01/2016,1751,2.0,3.0,1539.0,02/01/2016,950000.0,37.734334000000004,-122.41353400000001,Bernal Heights,7.0,SingleFamily,40.0,11.0,965984.0,1248000,94110.0,2.0,0.0,0
77,403 Main St APT 518N,1415000,01/29/2016,29037,2.0,2.0,1118.0,01/29/2016,1415000.0,37.788008000000005,-122.38964299999999,South Beach,5.0,Condominium,19.0,13.0,1277409.0,1286900,94105.0,2.0,0.0,0
78,188 Minna St APT 38C,7500000,01/29/2016,33056,2.5,2.0,1670.0,01/29/2016,7500000.0,37.786289000000004,-122.401374,Yerba Buena,5.0,Condominium,11.0,14.0,4118863.0,1006900,94105.0,2.0,0.5,0
79,1200 Gough St APT 22B,650000,01/29/2016,44676,1.0,0.0,550.0,01/29/2016,650000.0,37.78482,-122.423994,Van Ness - Civic Center,2.0,Condominium,50.0,10.0,667585.0,855500,94109.0,1.0,0.0,1
80,979 Guerrero St,1275000,01/29/2016,0,2.0,3.0,1440.0,01/29/2016,1275000.0,37.755554,-122.42316000000001,Mission,7.0,Condominium,131.0,2.0,1472631.0,1185400,94110.0,2.0,0.0,0
